recipe_id||image_name
1||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/%E5%8A%A0%E6%8B%BF%E5%A4%A7%E9%A4%A1%E9%A4%85.jpg
2||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/%E9%9D%9E%E6%B4%B2%E9%B7%84.jpg
3||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/%E8%A6%AA%E5%AD%90%E4%B8%BC.jpg
4||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/%E5%8D%97%E7%93%9C%E9%AB%98%E9%BA%97%E8%8F%9C%E9%A3%AF.jpg
5||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/%E8%8A%B1%E6%A4%B0%E8%8F%9C%E7%82%92%E8%9D%A6%E4%BB%81.jpg
6||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/0f06e86a8f79de90cd0cce000.jpg
7||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/0f06e86a8f79de90cd0cce001.jpg
8||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/f0a79c677984d74d6bd556800.jpg
9||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/f0a79c677984d74d6bd556801.webp
10||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/f0a79c677984d74d6bd556802.webp
11||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/08a26219b1a0b665bdc409502.webp
12||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/08a26219b1a0b665bdc409503.webp
13||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/08a26219b1a0b665bdc409504.webp
14||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/d98ff00ca770442f95c093a00.webp
15||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/d98ff00ca770442f95c093a01.webp
16||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/d35a0b5ae19d3abd6d1718e00.webp
17||https://c22-frd011b.s3.ap-southeast-1.amazonaws.com/d35a0b5ae19d3abd6d1718e01.webp